,config,model,opt,weight_mode,ious,accs,miou,macc,highest_epoch,train_time
14,traffic,pon,adam,sqrt_inverse,"[array(0.67611885, dtype=float32), array(0.8472546, dtype=float32), array(0.8551846, dtype=float32), array(0.5600425, dtype=float32), array(0.08704062, dtype=float32)]",[0.9175774  0.9053382  0.9657788  0.9955672  0.98619133],0.6051281690597534,0.9611956,29,506.22283115835984
12,traffic,pon,adam,equal,"[array(0.7071215, dtype=float32), array(0.84653825, dtype=float32), array(0.8515622, dtype=float32), array(0.4763695, dtype=float32), array(0., dtype=float32)]",[0.932878   0.90999466 0.961135   0.99743664 0.99705374],0.5763182640075684,0.9640277,48,503.28251866804015
13,traffic,pon,adam,inverse,"[array(0.65040845, dtype=float32), array(0.83825105, dtype=float32), array(0.80986243, dtype=float32), array(0.5035533, dtype=float32), array(0.07373553, dtype=float32)]",[0.9191843  0.9064064  0.95766985 0.99641174 0.96815497],0.5751621127128601,0.9529368,46,506.3177311989998
26,traffic,pon,adam,recall,"[array(0.69207597, dtype=float32), array(0.85157776, dtype=float32), array(0.8462168, dtype=float32), array(0.46296296, dtype=float32), array(0.00405405, dtype=float32)]",[0.93234634 0.9032879  0.9711435  0.99651194 0.9969379 ],0.5713775157928467,0.9603534,44,569.73444974704
20,traffic,ved,adam,sqrt_inverse,"[array(0.69620466, dtype=float32), array(0.7434851, dtype=float32), array(0.7980217, dtype=float32), array(0.5390244, dtype=float32), array(0.06876681, dtype=float32)]",[0.9251226  0.86163515 0.9433951  0.99683106 0.96305025],0.5691004991531372,0.94838285,22,482.7232818442
19,traffic,ved,adam,inverse,"[array(0.65003866, dtype=float32), array(0.8161867, dtype=float32), array(0.7774765, dtype=float32), array(0.41717792, dtype=float32), array(0.05344902, dtype=float32)]",[0.9177208 0.8874004 0.950843  0.9948598 0.959464 ],0.5428657531738281,0.9496865,46,484.40930632343986
1,aug,pon,adam,inverse,"[array(0.31426126, dtype=float32), array(0.63118494, dtype=float32), array(0.8168987, dtype=float32), array(0.53741497, dtype=float32), array(0.08168833, dtype=float32)]",[0.75023437 0.74367356 0.9536968  0.995241   0.9780679 ],0.47628965973854065,0.89641345,29,503.5262374107202
2,aug,pon,adam,sqrt_inverse,"[array(0.19815414, dtype=float32), array(0.63462716, dtype=float32), array(0.8062356, dtype=float32), array(0.62754494, dtype=float32), array(0.06805852, dtype=float32)]",[0.80126005 0.72522056 0.95502806 0.99642783 0.9801086 ],0.4669240415096283,0.9070653,17,498.77622545208004
8,aug,ved,adam,sqrt_inverse,"[array(0.29990506, dtype=float32), array(0.6600368, dtype=float32), array(0.76747173, dtype=float32), array(0.44119242, dtype=float32), array(0.10361067, dtype=float32)]",[0.8101769  0.75957996 0.93888605 0.99719566 0.9931885 ],0.4544433057308197,0.9151632,48,487.3345801653202
24,aug,pon,adam,recall,"[array(0.21414529, dtype=float32), array(0.6158183, dtype=float32), array(0.7185175, dtype=float32), array(0.64884394, dtype=float32), array(0., dtype=float32)]",[0.81066275 0.72156495 0.9363393  0.9974375  0.9967524 ],0.4394649863243103,0.9080976,17,570.0662099846402
0,aug,pon,adam,equal,"[array(0.13858503, dtype=float32), array(0.6562631, dtype=float32), array(0.7327267, dtype=float32), array(0.650289, dtype=float32), array(0., dtype=float32)]",[0.8265834  0.74747217 0.9409026  0.9974406  0.9967524 ],0.4355727732181549,0.9120628,17,501.06499341367993
7,aug,ved,adam,inverse,"[array(0.3036226, dtype=float32), array(0.6497221, dtype=float32), array(0.8245761, dtype=float32), array(0.31601062, dtype=float32), array(0.07941715, dtype=float32)]",[0.7774818  0.7417032  0.95518154 0.98870105 0.9666011 ],0.43466973304748535,0.89909565,29,487.9318985691199
18,traffic,ved,adam,equal,"[array(0.6640208, dtype=float32), array(0.6100632, dtype=float32), array(0.82414407, dtype=float32), array(0., dtype=float32), array(0., dtype=float32)]",[0.9144521  0.7768046  0.9581718  0.9927919  0.99699134],0.41964560747146606,0.935161,33,487.47662264248
27,traffic,ved,adam,recall,"[array(0.5505735, dtype=float32), array(0.64864534, dtype=float32), array(0.7752086, dtype=float32), array(0.09209383, dtype=float32), array(0., dtype=float32)]",[0.9142471  0.7871952  0.94641626 0.9918535  0.99788505],0.41330426931381226,0.9369486,42,516.9611044199598
25,aug,ved,adam,recall,"[array(0.33076817, dtype=float32), array(0.6434163, dtype=float32), array(0.49149576, dtype=float32), array(0.00743494, dtype=float32), array(0., dtype=float32)]",[0.8303767  0.7840474  0.89266455 0.991197   0.9965078 ],0.2946230471134186,0.8989587,43,512.2370631320802
6,aug,ved,adam,equal,"[array(0.11329093, dtype=float32), array(0.5888601, dtype=float32), array(0.6157395, dtype=float32), array(0., dtype=float32), array(0., dtype=float32)]",[0.7923556  0.75169724 0.9151557  0.99098074 0.9970953 ],0.2635781168937683,0.88945687,47,484.96198873239996
